total_gasto;media_gasto;qtd_transacoes;max_gasto
0.08867853263573086;-0.16079653225920068;1.2954522078595712;-0.24549051454515236
-0.05467801108072213;0.06281762951271412;-0.28635045726554104;-0.23950814957595423
-0.052217409394931275;-0.21298814284797868;-0.19647530583797784;-0.2681166734822267
-0.053432898711539265;-0.019894025230132686;-0.27736294212278473;-0.20275933619373712
-0.04577649031720023;-0.1321288883978725;-0.19647530583797784;-0.16002815784232188
-0.05367486948262146;-0.20656334534051773;-0.23242536640900313;-0.35232059698260804
-0.033727933288052424;-0.21120609063948587;0.1630252998722749;-0.20275933619373712
-0.048714158872595774;-0.17780334079357998;-0.18748779069522153;-0.15191991675014083
-0.03218927535107335;-0.009707860852934803;-0.17850027555246523;-0.20275933619373712
-0.056988255121172796;-0.2708811154842885;-0.25040039669451575;-0.41444959374664825
-0.015584285666462501;0.1351641344185923;-0.1695127604097089;0.1925040635568539
-0.04974476965590282;0.2347600841998144;-0.27736294212278473;0.07606160254924735
-0.04189362804742618;-0.16940756457508094;-0.11558766955317099;-0.29420405786576576
0.027545905216480312;-0.19391372685632255;1.0078517232913689;-0.05320021196378376
-0.05640641588135559;-0.17586457417378668;-0.28635045726554104;-0.36466777096724945
-0.055912649163386986;-0.19111326224645192;-0.27736294212278473;-0.3624137013092123
-0.05515853003912289;-0.13904362718309177;-0.27736294212278473;-0.34374872260531414
-0.04878921967513608;-0.04443371755452763;-0.25040039669451575;-0.16853166233425348
-0.04159913831859172;-0.03638384084235738;-0.2144503361234905;-0.050379954192590344
0.0006193470617977594;-0.11182170573965684;0.14505026958676226;0.11345138360673569
0.05308785120857961;-0.15376101785665428;0.8370889355789989;-0.057375048088717025
-0.054816684733214056;0.043667640483582106;-0.28635045726554104;-0.2495499764885368
-0.05501242111845479;-0.20175169232199736;-0.25938791183727206;-0.3413194551160362
0.05727057312309312;0.2896227655354021;-0.043687548411120436;0.6851945499486716
-0.05314197909163067;-0.18296772613281934;-0.24141288155175944;-0.3308268142718462
-0.05265101535174434;0.34273342659811196;-0.28635045726554104;-0.09272655193884285
0.012990512115700199;0.20955075342926247;-0.11558766955317099;0.21814277056770304
-0.028917580323366925;-0.17955484761752197;0.07315014844471171;-0.3330894301655536
-0.007534604694662845;-0.08433747324010026;0.028212572730930113;-0.09251289604708579
-0.05331145599799526;-0.19939403181857795;-0.23242536640900313;-0.31386039990741676
-0.04222417292590854;-0.13740379053388793;-0.16052524526695258;-0.24549051454515236
-0.021643793189775846;-0.19917597178451277;0.28885051187086336;-0.23478849092704043
0.009168400707730595;-0.0985064540071527;0.1720128150150312;-0.10635779783294431
-0.04948167328158994;-0.14267957855753255;-0.2234378512662468;-0.1892562838346899
-0.030371470302131255;-0.11394155229466457;-0.08862512412490203;0.11973073026547613
-0.027527480224748883;0.0969690606246285;-0.19647530583797784;-0.20275933619373712
-0.041083862431970646;-0.11635991221487585;-0.1695127604097089;-0.20275933619373712
-0.02259332414392378;0.005926343582100377;-0.14255021498143994;0.13654117582892294
0.011156243258653746;-0.15814472262321325;0.43265075415496446;-0.09593139031519901
-0.045433730355285605;-0.04398459501547359;-0.23242536640900313;-0.06345569476812342
-0.04826951803364824;0.9477915906036664;-0.28635045726554104;0.22455244732041532
-0.0567020563064554;-0.2166907209975958;-0.28635045726554104;-0.3860760913213085
-0.05074794075903593;-0.05452698411260549;-0.25938791183727206;-0.20275933619373712
-0.05038272746743059;-0.11946174478436658;-0.24141288155175944;-0.09593139031519901
-0.03497794349262118;-0.08343404534454592;-0.15153773012419625;0.1348169727824433
-0.041188310246826274;0.09215378291904402;-0.24141288155175944;-0.20275933619373712
-0.014124789731533603;-0.1426032615504265;0.10910020901573698;-0.2564916564117242
-0.052630361829032773;-0.17119252011277858;-0.24141288155175944;-0.27433405993235765
-0.003991315843299356;-0.052218120187107316;0.0012500273026611588;0.010896555563339105
0.029616833938768853;-0.13363081927027676;0.46860081472598974;-0.20275933619373712
-0.048035425106228886;-0.16048754042996874;-0.19647530583797784;-0.26685610372086
-0.039710108121327185;0.3265374252383673;-0.25938791183727206;0.21771545878418888
-0.04043357151688083;-0.189198640608886;-0.05267506355387675;-0.26944134001112063
0.09581494433825759;0.1395602718220083;0.1630252998722749;0.651603570646624
